
============================ Unprocessed Statistics ============================

 === DURATION BETWEEN EACH READING :: 100ms ===

S.NO	PWR_PKG_ENERGY	INST_RETIRED	CORE FREQ	UNCORE FREQ	
1	0.241333	22273843.000000	21		9
2	23.018494	11893240273.000000	20		18
3	35.004700	28236384777.000000	20		22
4	36.693665	29474115257.000000	21		22
5	38.599609	31418004744.000000	23		22
6	38.339355	31159242014.000000	23		22
7	38.495056	31194465436.000000	23		22
8	38.810913	31516085053.000000	23		22
9	38.825928	31592923686.000000	23		22
10	37.580933	27782514265.000000	23		22
11	37.918945	28946259058.000000	23		22
12	38.179321	28893054867.000000	24		22
13	38.321350	29636301252.000000	23		22
14	38.459656	29325520666.000000	23		22
15	38.334045	29252937016.000000	23		22
16	38.398499	29218537110.000000	23		22
17	38.003235	28854947108.000000	24		22
18	38.358398	29257834126.000000	24		22
19	38.100281	28792444212.000000	23		22
20	37.804199	28001739845.000000	24		22
21	38.135254	28881128367.000000	23		22
22	37.682129	27957375377.000000	24		22
23	38.176575	28744672830.000000	24		22
24	38.120605	29096186183.000000	23		22
25	37.923889	28611719471.000000	24		22
26	38.208740	28857966410.000000	23		22
27	38.004883	28618388306.000000	24		22
28	37.905334	28814113164.000000	24		22
29	37.646484	27537129061.000000	24		22
30	37.700500	27356984530.000000	24		22
31	38.165405	29115830192.000000	23		22
32	37.931946	27809147520.000000	24		22
33	38.296326	29309718300.000000	23		21
34	37.474915	29105272725.000000	23		21
35	37.573120	29002083707.000000	24		21
36	38.945618	30031147381.000000	23		21
37	37.750366	29739418061.000000	24		20
38	37.458923	30049809759.000000	23		20
39	35.976929	26237299700.000000	24		20
40	37.325256	28216451888.000000	23		21
41	38.582581	29833219310.000000	23		21
42	38.028625	28387854469.000000	24		21
43	38.643311	30117056163.000000	23		21
44	38.122864	29597293267.000000	23		21
45	37.835205	29717228164.000000	23		20
46	37.668579	29683044833.000000	23		20
47	37.874329	29726403179.000000	23		20
48	37.002502	29771157209.000000	23		19
49	36.711426	29420708117.000000	23		19
50	35.043823	25041843408.000000	24		20
51	37.819275	29575135309.000000	23		21
52	37.838196	28124762887.000000	24		22
53	38.993347	29345956766.000000	24		20
54	37.755981	29514368286.000000	24		20
55	37.833496	29860438567.000000	23		20
56	37.655151	29690899454.000000	23		20
57	37.250305	29688904639.000000	24		20
58	37.744568	29866994285.000000	23		20
59	37.000671	27376225667.000000	24		20
60	37.357544	29343287208.000000	24		20
61	37.237244	28568218956.000000	24		20
62	37.395142	28669889513.000000	24		20
63	37.696655	29451094202.000000	24		20
64	37.891785	29724698222.000000	23		20
65	37.554810	29697816959.000000	23		20
66	37.745056	29703805960.000000	23		20
67	37.567932	30002249430.000000	23		20
68	37.536499	29825106724.000000	23		20
69	37.320068	28870481167.000000	24		20
70	37.659424	29181587644.000000	23		20
71	37.567383	29179233055.000000	24		20
72	37.702454	29971819819.000000	23		20
73	37.453186	29207438579.000000	24		20
74	37.875488	29831291769.000000	23		20
75	37.579407	29546279868.000000	23		20
76	37.533813	29555975327.000000	23		20
77	37.486816	29879528665.000000	23		20
78	37.668945	29806348814.000000	23		20
79	37.128723	28310933920.000000	23		20
80	37.401489	28590115989.000000	23		20
81	37.655579	29643322971.000000	23		20
82	37.592285	29929544932.000000	23		20
83	37.644409	29866149310.000000	23		20
84	37.461731	29728963666.000000	23		20
85	37.146545	29797957325.000000	23		20
86	37.640564	29562209519.000000	24		20
87	37.490112	29864161335.000000	23		20
88	37.288574	29986476538.000000	23		20
89	37.452332	28461811103.000000	23		20
90	37.447510	28776107821.000000	23		20
91	37.466736	29523399771.000000	24		20
92	37.564270	30100975044.000000	23		20
93	37.697754	29732984214.000000	23		20
94	37.498779	29969842312.000000	23		20
95	37.288025	29881864060.000000	23		20
96	37.517334	29646458248.000000	23		20
97	37.326355	29971692823.000000	23		20
98	37.505676	29863387410.000000	23		20
99	37.512085	29823647805.000000	23		20
100	37.581055	29860665480.000000	23		20
101	37.303650	29600324932.000000	24		20
102	37.413025	30012119338.000000	23		20
103	37.580383	29845653518.000000	23		20
104	37.272949	29722452747.000000	23		20
105	37.644531	29564395246.000000	23		20
106	37.556030	29969129937.000000	23		20
107	37.340759	30021298621.000000	23		20
108	37.464233	29852114710.000000	23		20
109	37.613037	29869293548.000000	23		20
110	35.893127	26527186857.000000	23		20
111	38.436951	30154861094.000000	23		21
112	38.060547	29762776183.000000	23		20
113	37.356750	29776100302.000000	23		20
114	37.718872	29714981768.000000	23		20
115	37.182495	29398127888.000000	23		20
116	37.789246	29989570888.000000	23		20
117	37.012085	29343308455.000000	23		20
118	37.646240	29903304651.000000	23		20
119	37.374390	29742372482.000000	23		20
120	37.263672	29505088277.000000	24		20
121	37.639954	29975608350.000000	23		20
122	37.432434	29467148139.000000	23		20
123	37.460815	29770304491.000000	23		20
124	37.266907	29820630390.000000	23		20
125	37.579163	29594039948.000000	24		20
126	37.009644	28692296710.000000	24		20
127	37.160156	28584602379.000000	24		20
128	37.561340	29203459211.000000	23		20
129	37.461609	29595208818.000000	23		20
130	37.761230	29866021648.000000	23		21
131	38.237793	30017499918.000000	23		20
132	37.399536	29746175534.000000	23		20
133	37.350342	29963708969.000000	23		20
134	37.042175	29643003268.000000	23		20
135	37.372559	29745555024.000000	24		20
136	37.455627	29971963353.000000	23		20
137	37.525574	29893017476.000000	23		20
138	36.940491	28258974009.000000	24		20
139	37.492310	29635037060.000000	24		20
140	37.574036	29279745071.000000	23		21
141	37.104980	29254793946.000000	23		21
142	37.993225	29746040884.000000	23		20
143	37.671509	30030708449.000000	23		20
144	37.578674	29860955868.000000	24		20
145	37.150635	29970314177.000000	23		20
146	37.462524	29978932174.000000	23		20
147	37.429749	29729392791.000000	23		20
148	37.469238	29889219430.000000	23		20
149	37.545959	29757130511.000000	23		20
150	37.466431	30017753788.000000	23		20
151	36.749695	28592878460.000000	24		20
152	37.733521	30073020397.000000	23		20
153	36.569580	26380431741.000000	24		21
154	37.992004	29296779947.000000	24		21
155	37.822937	29624940941.000000	24		20
156	37.548523	29777740516.000000	23		20
157	37.845398	30140885602.000000	23		21
158	38.305115	30115832880.000000	23		21
159	37.650818	29907264645.000000	24		20
160	37.144775	30174678865.000000	23		20
161	36.955444	29769759731.000000	23		20
162	37.113403	29976391139.000000	23		20
163	36.608398	27422379334.000000	24		20
164	37.590576	29809696817.000000	24		20
165	37.663330	29789257819.000000	24		20
166	38.319031	29687922445.000000	23		21
167	38.002441	29886616879.000000	23		21
168	38.534485	30072809657.000000	23		21
169	37.460876	30145300422.000000	23		20
170	37.132629	30161691475.000000	23		19
171	37.026245	29916030652.000000	23		20
172	37.250854	29882365777.000000	23		20
173	37.461121	30148159327.000000	23		20
174	37.479187	29921055219.000000	23		20
175	36.580505	27866304087.000000	24		20
176	37.642639	29738903934.000000	23		20
177	37.552795	29650355438.000000	23		20
178	37.921753	29844469675.000000	24		20
179	37.980286	30232955455.000000	23		20
180	37.910278	29830879367.000000	23		21
181	38.598816	30002354185.000000	23		21
182	37.808472	29733718379.000000	23		20
183	36.991638	29681967684.000000	23		20
184	36.899658	30033585845.000000	23		19
185	36.894409	29872356505.000000	23		20
186	37.009827	29859924198.000000	23		20
187	37.686951	29491969346.000000	23		20
188	37.318726	28972542601.000000	23		20
189	37.282410	29870049884.000000	23		20
190	38.303833	29920110323.000000	23		21
191	38.051025	30080113185.000000	23		20
192	37.503967	30127884787.000000	23		19
193	37.205566	29861992156.000000	23		20
194	37.144226	30098776454.000000	23		20
195	37.084595	29728490640.000000	23		19
196	37.490173	29931757427.000000	23		20
197	37.499573	30098832744.000000	23		20
198	37.466919	29974748191.000000	23		20
199	37.494629	30126660784.000000	23		20
200	37.494019	29083215068.000000	23		20
201	37.559143	29270080975.000000	23		20
202	37.507324	30071532470.000000	23		20
203	37.480957	29803192842.000000	23		20
204	37.689880	29949494873.000000	23		20
205	37.055237	29761651010.000000	23		20
206	37.673950	29821745548.000000	23		20
207	37.219299	29687806851.000000	23		20
208	37.630066	29977824095.000000	23		19
209	37.329224	29854018845.000000	23		20
210	37.499329	29751809228.000000	23		20
211	37.454651	29977099465.000000	23		20
212	37.454041	29784204180.000000	23		20
213	37.533936	30097538379.000000	23		20
214	37.348083	29879728110.000000	23		20
215	37.631897	30057412389.000000	23		20
216	37.391052	29980446930.000000	23		20
